signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-10-01 19:30:00,2024-10-01 19:45:00,buy,0.40540642676745664,0.01,1.10558,1.1025800000000001,1.11158,30.0,60.0,2024-10-03 08:15:00,1.1025800000000001,sl,-31.8,-3.18
2024-10-03 17:15:00,2024-10-03 17:30:00,buy,0.42419991387720035,0.01,1.10147,1.09847,1.10747,30.0,60.0,2024-10-04 15:30:00,1.09847,sl,-31.8,-3.18
2024-10-04 15:45:00,2024-10-04 16:00:00,buy,0.5622619578965878,0.01,1.0974,1.0944,1.1034,30.0,60.0,2024-10-09 17:45:00,1.0944,sl,-31.8,-3.18
2024-11-06 02:15:00,2024-11-06 02:30:00,buy,0.40324179231962753,0.01,1.08521,1.0822100000000001,1.09121,30.0,60.0,2024-11-06 03:00:00,1.0822100000000001,sl,-31.8,-3.18
2024-11-06 03:30:00,2024-11-06 03:45:00,sell,0.4432727043285524,0.01,1.08351,1.0865099999999999,1.07751,30.0,60.0,2024-11-06 04:30:00,1.07751,tp,58.2,5.82
2024-11-06 05:30:00,2024-11-06 05:45:00,sell,0.4513948796045998,0.01,1.07454,1.07754,1.06854,30.0,60.0,2024-11-06 06:30:00,1.07754,sl,-31.8,-3.18
2024-11-06 10:45:00,2024-11-06 11:00:00,sell,0.40877802164456795,0.01,1.07664,1.07964,1.07064,30.0,60.0,2024-11-06 13:45:00,1.07064,tp,58.2,5.82
2024-11-08 15:45:00,2024-11-08 16:00:00,buy,0.44199396176955225,0.01,1.07585,1.07285,1.08185,30.0,60.0,2024-11-08 18:15:00,1.07285,sl,-31.8,-3.18
2024-11-08 18:30:00,2024-11-08 18:45:00,buy,0.4084441497791067,0.01,1.0711,1.0681,1.0771,30.0,60.0,2024-11-11 10:15:00,1.0681,sl,-31.8,-3.18
2024-11-11 10:15:00,2024-11-11 10:30:00,buy,0.41534626199215363,0.01,1.06913,1.06613,1.07513,30.0,60.0,2024-11-11 13:15:00,1.06613,sl,-31.8,-3.18
2024-11-11 13:15:00,2024-11-11 13:30:00,buy,0.4332051964209809,0.01,1.0664799999999999,1.06348,1.0724799999999999,30.0,60.0,2024-11-11 16:45:00,1.06348,sl,-31.8,-3.18
2024-11-12 10:30:00,2024-11-12 10:45:00,buy,0.4100225038059717,0.01,1.06331,1.06031,1.06931,30.0,60.0,2024-11-12 17:45:00,1.06031,sl,-31.8,-3.18
2024-11-12 18:45:00,2024-11-12 19:00:00,buy,0.4706835058596943,0.01,1.05992,1.05692,1.06592,30.0,60.0,2024-11-13 17:00:00,1.05692,sl,-31.8,-3.18
2024-11-13 17:00:00,2024-11-13 17:15:00,buy,0.7058680552489157,0.01,1.05735,1.0543500000000001,1.06335,30.0,60.0,2024-11-14 07:00:00,1.0543500000000001,sl,-31.8,-3.18
2024-11-14 07:15:00,2024-11-14 07:30:00,buy,0.49166725083929946,0.01,1.05464,1.0516400000000001,1.06064,30.0,60.0,2024-11-14 12:00:00,1.0516400000000001,sl,-31.8,-3.18
2024-11-14 12:00:00,2024-11-14 12:15:00,buy,0.5926255131374811,0.01,1.05105,1.0480500000000001,1.05705,30.0,60.0,2024-11-14 17:15:00,1.05705,tp,58.2,5.82
2024-11-14 19:00:00,2024-11-14 19:15:00,buy,0.4433447768136459,0.01,1.05605,1.05305,1.06205,30.0,60.0,2024-11-14 22:00:00,1.05305,sl,-31.8,-3.18
2024-11-14 22:15:00,2024-11-14 22:30:00,buy,0.5490237985585312,0.01,1.05258,1.0495800000000002,1.05858,30.0,60.0,2024-11-15 15:00:00,1.05858,tp,58.2,5.82
2024-11-15 15:45:00,2024-11-15 16:00:00,buy,0.40138576521588665,0.01,1.05502,1.0520200000000002,1.06102,30.0,60.0,2024-11-15 22:30:00,1.0520200000000002,sl,-31.8,-3.18
2024-11-15 22:30:00,2024-11-15 22:45:00,buy,0.4526592023833949,0.01,1.0529199999999999,1.04992,1.0589199999999999,30.0,60.0,2024-11-18 19:30:00,1.0589199999999999,tp,58.2,5.82
2024-11-19 06:30:00,2024-11-19 06:45:00,buy,0.42977408825361757,0.01,1.05884,1.0558400000000001,1.06484,30.0,60.0,2024-11-19 11:15:00,1.0558400000000001,sl,-31.8,-3.18
2024-11-19 11:15:00,2024-11-19 11:30:00,buy,0.5041660394115502,0.01,1.0546,1.0516,1.0606,30.0,60.0,2024-11-20 01:30:00,1.0606,tp,58.2,5.82
2024-11-20 03:00:00,2024-11-20 03:15:00,buy,0.4811083615696964,0.01,1.05984,1.05684,1.06584,30.0,60.0,2024-11-20 10:00:00,1.05684,sl,-31.8,-3.18
2024-11-20 10:15:00,2024-11-20 10:30:00,buy,0.4766511723227932,0.01,1.05653,1.05353,1.06253,30.0,60.0,2024-11-20 16:15:00,1.05353,sl,-31.8,-3.18
