name,sharpe_full,dd_full,cagr_full,sharpe_eval,dd_eval,cagr_eval,turnover_yr,avg_abs_pos,params
LO-max-ew-bko,0.879,-19.9,15.8,0.951,-19.9,18.4,36.2,0.85,{}
LO-ens-buf0.2,0.765,-20.1,10.7,0.889,-20.1,13.3,8.7,0.58,"{""buffer"": 0.2}"
LO-ens-buf0.4,0.743,-20.0,10.2,0.868,-20.0,12.8,4.8,0.6,"{""buffer"": 0.4}"
h1-lf-ewmac-mid-buf0.3,0.757,-25.2,11.7,0.866,-25.2,14.1,23.2,0.7,{}
h1-lf-ewmac-faster-buf0.3,0.884,-19.4,12.1,0.993,-19.4,14.6,23.2,0.58,{}
LO-max3-ew-bko-ts,0.876,-19.4,15.8,0.949,-19.4,18.5,38.3,0.85,{}
LO-max-ew-bkovf,0.851,-23.8,15.5,0.91,-23.8,17.9,49.3,0.87,{}
LO-max-ew-bko-rest0.15,0.89,-19.8,16.7,0.962,-19.8,19.4,34.2,0.93,{}
LO-max-ew-bko-rest0.25,0.892,-20.6,17.2,0.963,-20.6,19.9,32.8,0.98,{}
LO-avg-maxewbko-ts,0.867,-16.8,13.0,0.94,-16.8,15.1,34.0,0.69,{}
LO-bko-veryfast,0.767,-17.0,10.6,0.849,-17.0,12.5,55.2,0.46,{}
STRESS-max-ew-bko-costx2,0.856,-20.7,15.4,0.927,-20.7,18.0,36.2,0.85,"{""stress"": ""costx2""}"
STRESS-max-ew-bko-delay2,0.848,-22.8,15.3,0.917,-22.8,17.8,36.2,0.85,"{""stress"": ""delay2""}"
STRESS-max-ew-bko-buf0.2,0.902,-20.4,15.8,0.971,-20.4,18.3,12.2,0.85,"{""stress"": ""buf0.2""}"
STRESS-bko-fast-costx2,0.804,-14.8,10.9,0.921,-14.8,13.4,28.5,0.47,"{""stress"": ""costx2""}"
STRESS-bko-fast-delay2,0.811,-15.6,11.0,0.913,-15.6,13.3,28.5,0.47,"{""stress"": ""delay2""}"
STRESS-bko-fast-buf0.2,0.862,-13.5,11.3,0.971,-13.5,13.7,15.0,0.52,"{""stress"": ""buf0.2""}"
h1-lf-ewfast-buf0.2,0.851,-19.4,11.8,0.953,-19.4,14.1,32.5,0.56,{}
h1-lf-ewfast-buf0.3,0.884,-19.4,12.1,0.993,-19.4,14.6,23.2,0.58,{}
h1-lf-ewfast-buf0.4,0.878,-19.1,11.9,0.998,-19.1,14.5,16.9,0.59,{}
h1-lf-ewfast-mid-buf0.2,0.85,-20.3,11.7,0.948,-20.3,14.0,26.8,0.57,{}
h1-lf-ewfast-mid-buf0.3,0.865,-20.0,11.8,0.971,-20.0,14.3,18.4,0.58,{}
h1-lf-ewfast-mid-buf0.4,0.852,-19.6,11.6,0.961,-19.6,14.0,13.1,0.59,{}
h1-lf-ewfast-bko-buf0.2,0.865,-18.8,11.5,0.975,-18.8,13.9,24.3,0.53,{}
h1-lf-ewfast-bko-buf0.3,0.884,-18.7,11.6,0.994,-18.7,14.0,17.2,0.55,{}
h1-lf-ewfast-bko-buf0.4,0.884,-17.8,11.5,0.994,-17.8,13.9,12.6,0.57,{}
h1-lf-ewfast-mid-bko-buf0.2,0.888,-19.6,11.6,0.975,-19.6,13.7,21.5,0.53,{}
h1-lf-ewfast-mid-bko-buf0.3,0.9,-19.1,11.6,0.991,-19.1,13.8,14.9,0.54,{}
h1-lf-ewfast-mid-bko-buf0.4,0.893,-18.3,11.4,0.981,-18.3,13.6,10.8,0.54,{}
h1-lf-ewfast-ovn0.2-buf0.3,0.868,-19.6,12.1,0.973,-19.6,14.6,24.6,0.6,"{""ovn_w"": 0.2}"
h1-lf-ewfast-ovn0.4-buf0.3,0.849,-20.7,12.2,0.955,-20.7,14.7,29.6,0.63,"{""ovn_w"": 0.4}"
h1-overnight-only,0.352,-13.4,2.8,0.372,-13.4,2.9,413.5,0.24,{}
h1-LS-ewfast-mid-bko-buf0.3,0.606,-26.0,8.2,0.638,-26.0,9.5,23.0,0.65,{}
LO-max-rest0.0-buf0.1,0.901,-19.2,15.9,0.968,-19.2,18.4,18.0,0.84,"{""rest"": 0.0, ""buf"": 0.1}"
LO-max-rest0.0-buf0.2,0.902,-20.4,15.8,0.971,-20.4,18.3,12.2,0.85,"{""rest"": 0.0, ""buf"": 0.2}"
LO-max-rest0.0-buf0.3,0.891,-21.3,15.4,0.961,-21.3,17.9,8.9,0.85,"{""rest"": 0.0, ""buf"": 0.3}"
LO-max-rest0.15-buf0.1,0.902,-20.1,16.7,0.969,-20.1,19.3,16.6,0.92,"{""rest"": 0.15, ""buf"": 0.1}"
LO-max-rest0.15-buf0.2,0.899,-21.5,16.5,0.967,-21.5,19.0,11.4,0.92,"{""rest"": 0.15, ""buf"": 0.2}"
LO-max-rest0.15-buf0.3,0.895,-22.4,16.3,0.963,-22.4,18.8,8.5,0.92,"{""rest"": 0.15, ""buf"": 0.3}"
LO-max-rest0.25-buf0.1,0.905,-20.8,17.2,0.97,-20.8,19.8,15.8,0.97,"{""rest"": 0.25, ""buf"": 0.1}"
stress-A-ewfast-buf0.4-base,0.878,-19.1,11.9,0.998,-19.1,14.5,16.9,0.59,{}
LO-max-rest0.25-buf0.2,0.899,-22.3,17.0,0.965,-22.3,19.6,10.9,0.97,"{""rest"": 0.25, ""buf"": 0.2}"
LO-max-rest0.25-buf0.3,0.899,-23.1,16.8,0.966,-23.1,19.4,8.1,0.97,"{""rest"": 0.25, ""buf"": 0.3}"
LO-max3-rest0.15-buf0.2,0.893,-21.7,16.5,0.962,-21.7,19.0,11.7,0.93,"{""buf"": 0.2}"
LO-max3-rest0.15-buf0.3,0.892,-22.4,16.3,0.964,-22.4,18.9,8.4,0.93,"{""buf"": 0.3}"
stress-A-ewfast-buf0.4-costx2,0.861,-19.3,11.7,0.981,-19.3,14.3,16.9,0.59,"{""spread_mult"": 2.0}"
LO-bkof-rest0.15-buf0.2,0.86,-15.1,12.3,0.983,-15.1,15.1,14.9,0.62,"{""buf"": 0.2}"
LO-bkof-rest0.15-buf0.3,0.84,-16.8,11.9,0.952,-16.8,14.4,11.8,0.64,"{""buf"": 0.3}"
stress-A-ewfast-buf0.4-costx3,0.844,-19.4,11.5,0.964,-19.4,14.0,16.9,0.59,"{""spread_mult"": 3.0}"
stress-A-ewfast-buf0.4-delay2,0.896,-18.6,12.3,1.009,-18.6,14.8,16.9,0.59,"{""delay"": 2}"
stress-A-ewfast-buf0.4-delay3,0.871,-19.5,11.9,0.987,-19.5,14.5,16.9,0.59,"{""delay"": 3}"
stress-B-ewfast-mid-bko-buf0.3-base,0.9,-19.1,11.6,0.991,-19.1,13.8,14.9,0.54,{}
stress-B-ewfast-mid-bko-buf0.3-costx2,0.885,-19.2,11.4,0.975,-19.2,13.6,14.9,0.54,"{""spread_mult"": 2.0}"
stress-B-ewfast-mid-bko-buf0.3-costx3,0.869,-19.4,11.3,0.959,-19.4,13.4,14.9,0.54,"{""spread_mult"": 3.0}"
stress-B-ewfast-mid-bko-buf0.3-delay2,0.911,-18.9,11.9,0.993,-18.9,14.0,14.9,0.54,"{""delay"": 2}"
