time,PLAT,PALL,NATGAS,HEATOIL,GASOIL,SPX_fastb,SPX_slowb,BTC_fastb,BTC_slowb,GOLD_fastb,GOLD_slowb,XSMOM,DIPBUY,TOM
1986-11-13,,,,,,-0.01963179946833291,-0.018018639499366926,,,,,-0.002960005753496512,0.0,0.0
1986-11-14,,,,,,0.004226838071455014,0.004091192608838252,,,,,0.0012372550149092572,0.0,0.0
1986-11-17,,,,,,-0.003439162388246949,-0.0035917579326963677,,,,,-0.0010560088843994957,0.0,0.0
1986-11-18,,,,,,-0.011305984670639849,-0.015040751041899083,,,,,-0.005317641451230999,-2.4755728148095607e-05,0.0
1986-11-19,,,,,,0.000586452276854599,0.0013437483969490403,,,,,0.0007500466503357041,0.0009186157883030943,0.0
1986-11-20,,,,,,0.0030449402465220574,0.006778760962639389,,,,,0.003515861373785982,0.004306033186068169,0.0
1986-11-21,,,,,,0.0025886833273137387,0.005280561694133518,,,,,0.003016599932934338,0.0036945652969015423,0.0
1986-11-24,,,,,,0.00237127717947131,0.0024360313309826145,,,,,0.001212182583767323,0.0014846144026592338,-2.2680808692204906e-05
1986-11-25,,,,,,0.002236722621674647,0.001937910888889279,,,,,0.0005387410483394375,0.0006598203359618541,0.0006598203359618541
1986-11-26,,,,,,0.002506857824653016,0.0021619826685117085,,,,,0.00044994546364837673,0.0005284467814349332,0.00055106839900926
1986-11-27,,,,,,0.0,0.0,,,,,,,
1986-11-28,,,,,,0.0021960988483504325,0.0018926347575167425,,,,,0.00033923672963317205,0.0,0.00041547844480588255
1986-12-01,,,,,,-0.0008591559186148957,-0.0008032334528470235,,,,,-0.00012916146624729645,0.0,-0.00015818984336779415
1986-12-02,,,,,,0.02514426133366783,0.024267037313824548,,,,,0.0037895551601993187,0.0,0.004641238247309647
1986-12-03,,,,,,-0.0007470986354080457,-0.0007302915454366867,,,,,-0.00011397626044914613,0.0,-0.00013959184044548371
1986-12-04,,,,,,-0.004036944562262939,-0.0039717381943825,,,,,-0.0005986200919160626,0.0,-0.0007559423762377254
1986-12-05,,,,,,-0.009349521351006886,-0.009196200034733428,,,,,-0.0013973451253412636,0.0,0.0
1986-12-08,,,,,,-5.108021542763228e-05,-6.060751643535306e-05,,,,,-7.612952284549901e-06,0.0,0.0
1986-12-09,,,,,,-0.008106189666523093,-0.006651931803130225,,,,,-0.0014278089043221946,-2.3551398071130704e-05,0.0
1986-12-10,,,,,,0.00478004860268378,0.004187332817383807,,,,,0.0012959314035391797,0.0015871853401599142,0.0
1986-12-11,,,,,,-0.00794550791876367,-0.006950479451902419,,,,,-0.0021422131236983125,-0.0026236645366772638,0.0
1986-12-12,,,,,,-0.0014171674118047197,-0.0015966986780631743,,,,,-0.00063981264237436,-0.0007836072523994982,0.0
1986-12-15,,,,,,0.0009552503397756298,0.0014925357518066357,,,,,0.0006698612233260718,0.0008204090978127022,0.0
1986-12-16,,,,,,0.0019091747654011782,0.003175157335347363,,,,,0.0014304071390823922,0.0017518838075930752,0.0
1986-12-17,,,,,,-0.002571010864755219,-0.004271477151696282,,,,,-0.001938872427483551,-0.0023746240618430395,0.0
1986-12-18,,,,,,-0.0007395024046592424,-0.0013569070123472765,,,,,-0.0006182820718155837,-0.000781213491626716,0.0
1986-12-19,,,,,,0.0021499603599782796,0.005148115033274496,,,,,0.0023399773271678276,0.0,0.0
1986-12-22,,,,,,-0.0007075444536994427,-0.0016900132367018152,,,,,-0.0007736969410886009,0.0,0.0
1986-12-23,,,,,,-0.0017468470125074254,-0.004172451014483722,,,,,-0.0019014594510466413,0.0,0.0
1986-12-24,,,,,,0.0002854222367940319,0.0007094173155907292,,,,,0.00032865780769897703,0.0,0.0
1986-12-25,,,,,,0.0,0.0,,,,,,,
1986-12-26,,,,,,0.0001184909740587419,0.0002938269670891908,,,,,0.0001356552002284994,0.0,-2.4339865960406947e-05
1986-12-29,,,,,,-0.0015672000628178869,-0.003886250787772943,,,,,-0.0018110825569958187,-2.4541302946727892e-05,-0.002218114073347394
1986-12-30,,,,,,-0.0009138224862451326,-0.002266043398868503,,,,,-0.0010646854179199362,-0.0013039680052428521,-0.0013039680052428521
1986-12-31,,,,,,-0.0008480301549782678,-0.002102895435005141,,,,,-0.0009874379408757903,-0.001209359553905095,-0.001209359553905095
1987-01-01,,,,,,0.0,0.0,,,,,,,
1987-01-02,,,,,,0.00303963540207063,0.007537509572708709,,,,,0.0035572618630390867,0.004356738222954009,0.004356738222954009
1987-01-05,,,,,,0.003991959604092443,0.009433812741501662,,,,,0.004714213378984224,0.0057737086585565416,0.0057737086585565416
1987-01-06,,,,,,0.0004497781907965339,0.0009478147875094399,,,,,0.000462229646255944,0.0005661133886571159,0.0005661133886571159
1987-01-07,,,,,,0.005590391516060421,0.005156841455105305,,,,,0.001916637315643969,0.0023243075794157648,0.0023243075794157648
1987-01-08,,,,,,0.006413675775599978,0.005540914176723803,,,,,0.0014628076097800956,0.0,0.0
1987-01-09,,,,,,0.005920826788626171,0.0051059271737899465,,,,,0.0010797625419209757,0.0,0.0
1987-01-12,,,,,,0.007710004576529851,0.006333116572808903,,,,,0.0011672870307042123,0.0,0.0
